Mapping Type,Source System,Source Object,Source Field,Source Data Type,Target System,Target Object,Target Field,Target Data Type,Transformation Rule,Required,Default Value,Validation Rule,Notes
Order Header,Salesforce,Sales_Order__c,Name,String(Auto),NetSuite,salesOrder,tranId,String,Pass provisonal ID temporarily,Yes,AUTO,,"System generated, will be replaced"
Order Header,Salesforce,Sales_Order__c,Account__c,Lookup(18),NetSuite,salesOrder,entity,Integer,Lookup via correlation table,Yes,,"Must exist in NetSuite",Complex correlation logic required
Order Header,Salesforce,Sales_Order__c,Order_Date__c,Date,NetSuite,salesOrder,tranDate,Date,Format: YYYY-MM-DD,Yes,TODAY(),,
Order Header,Salesforce,Sales_Order__c,Opportunity__c,Lookup(18),NetSuite,salesOrder,custbody_sf_opportunity,String,Direct map,No,,,For commission tracking
Order Header,Salesforce,Sales_Order__c,Order_Total__c,Currency,NetSuite,salesOrder,total,Currency,Direct map,Yes,0.00,Must be > 0,Calculated from line items
Order Header,Salesforce,Sales_Order__c,Billing_Country__c,Picklist,Staging,staging_orders,subsidiary_id,Integer,Complex Excel matrix logic,Yes,1,"Must be valid subsidiary",See subsidiary mapping tab
Order Header,Salesforce,Sales_Order__c,Status__c,Picklist,NetSuite,salesOrder,status,String,"Map: Draft->Pending Approval, Confirmed->Pending Fulfillment",Yes,Pending Approval,"Valid NetSuite status",
Order Header,Salesforce,Sales_Order__c,External_Order_Number__c,String(50),NetSuite,salesOrder,tranId,String,Update after NS creation,No,,,Populated async after polling
Order Header,Salesforce,Sales_Order__c,Provisional_Order_ID__c,String(50),NetSuite,salesOrder,custbody_provisional_id,String,Direct map,Yes,,,Maintain for correlation
Order Header,Salesforce,Sales_Order__c,Credit_Status__c,String,AS400,CREDIT_INFO,CREDIT_STATUS,String,Cache lookup then API call,No,Not Checked,"Valid: Not Checked, Approved, On Hold, Rate Limited",D&B rate limits apply
Order Header,Salesforce,Sales_Order__c,Inventory_Status_Text__c,String,NetSuite,salesOrder,shipStatus,String,"Standardize: plenty->In Stock, some->Partial, none->Backordered",No,Unknown,"Must map to valid NS status",Free text field needs cleanup
Order Line,Salesforce,Sales_Order_Line__c,Sales_Order__c,Master-Detail,NetSuite,salesOrderLine,order,Reference,Link to parent order,Yes,,,
Order Line,Salesforce,Sales_Order_Line__c,Product2Id,Lookup(18),NetSuite,salesOrderLine,item,Integer,Product correlation required,Yes,,"Must exist in NetSuite","Custom products problematic"
Order Line,Salesforce,Sales_Order_Line__c,Quantity__c,Number,NetSuite,salesOrderLine,quantity,Number,Direct map,Yes,1,Must be > 0,
Order Line,Salesforce,Sales_Order_Line__c,Unit_Price__c,Currency,NetSuite,salesOrderLine,rate,Currency,Apply contract pricing if exists,Yes,0.00,Must be >= 0,May be overridden by NS pricing
